Stock,Quantity,Avg. Price,Current Price,P&L
ADANIENT,1,2616.3,2591.3,-25.0
ADANIGREEN,6,962.633333,993.0,182.20000200000004
ADANIPORTS,8,1400.075,1448.3,385.7999999999993
ATHERENERG,60,315.831666,330.1,856.1000400000023
BHARATFORG,9,1273.211111,1281.6,75.50000099999852
GOLDBEES,140,81.162857,80.78,-53.59998000000019
HAL,2,5012.7,5003.0,-19.399999999999636
HINDZINC,60,472.225,435.9,-2179.5000000000027
ICICIBANK,10,1429.05,1443.0,139.50000000000045
IDEAFORGE,45,582.778888,581.5,-57.54996000000233
SILVERBEES,100,103.157,104.09,93.3000000000007
SOLARINDS,1,16730.0,16525.0,-205.0
